id,portals_id,portals_url
000260,8589939004,http://acervos.ims.com.br/portals/#/detailpage/8589939004
000261,8589939005,http://acervos.ims.com.br/portals/#/detailpage/8589939005
000263,8589939007,http://acervos.ims.com.br/portals/#/detailpage/8589939007
000264,8589939008,http://acervos.ims.com.br/portals/#/detailpage/8589939008
000265,8589939009,http://acervos.ims.com.br/portals/#/detailpage/8589939009
000266,8589939010,http://acervos.ims.com.br/portals/#/detailpage/8589939010
000267,8589939011,http://acervos.ims.com.br/portals/#/detailpage/8589939011
000268,8589939012,http://acervos.ims.com.br/portals/#/detailpage/8589939012
000269,8589939013,http://acervos.ims.com.br/portals/#/detailpage/8589939013
000270,8589939014,http://acervos.ims.com.br/portals/#/detailpage/8589939014
000271,8589939015,http://acervos.ims.com.br/portals/#/detailpage/8589939015
000272,8589939016,http://acervos.ims.com.br/portals/#/detailpage/8589939016
000273,8589939017,http://acervos.ims.com.br/portals/#/detailpage/8589939017
000274,8589939018,http://acervos.ims.com.br/portals/#/detailpage/8589939018
000275,8589939019,http://acervos.ims.com.br/portals/#/detailpage/8589939019
000276,8589939020,http://acervos.ims.com.br/portals/#/detailpage/8589939020
000277,8589939021,http://acervos.ims.com.br/portals/#/detailpage/8589939021
000278,8589939022,http://acervos.ims.com.br/portals/#/detailpage/8589939022
000279,8589939023,http://acervos.ims.com.br/portals/#/detailpage/8589939023
000280,8589939024,http://acervos.ims.com.br/portals/#/detailpage/8589939024
000281,8589939025,http://acervos.ims.com.br/portals/#/detailpage/8589939025
000282,8589939026,http://acervos.ims.com.br/portals/#/detailpage/8589939026
000283,8589939027,http://acervos.ims.com.br/portals/#/detailpage/8589939027
000284,8589939028,http://acervos.ims.com.br/portals/#/detailpage/8589939028
000285,8589939029,http://acervos.ims.com.br/portals/#/detailpage/8589939029
000286,8589939030,http://acervos.ims.com.br/portals/#/detailpage/8589939030
000287,8589939031,http://acervos.ims.com.br/portals/#/detailpage/8589939031
000290,8590024822,http://acervos.ims.com.br/portals/#/detailpage/8590024822
000291,8590024823,http://acervos.ims.com.br/portals/#/detailpage/8590024823
000292,8590024824,http://acervos.ims.com.br/portals/#/detailpage/8590024824
000293,8590024825,http://acervos.ims.com.br/portals/#/detailpage/8590024825
000294,8590024826,http://acervos.ims.com.br/portals/#/detailpage/8590024826
000295,8590024827,http://acervos.ims.com.br/portals/#/detailpage/8590024827
000296,8590024828,http://acervos.ims.com.br/portals/#/detailpage/8590024828
000297,8590024829,http://acervos.ims.com.br/portals/#/detailpage/8590024829
000298,8590024830,http://acervos.ims.com.br/portals/#/detailpage/8590024830
000299,8590024831,http://acervos.ims.com.br/portals/#/detailpage/8590024831
000300,8590024832,http://acervos.ims.com.br/portals/#/detailpage/8590024832
000301,8590024833,http://acervos.ims.com.br/portals/#/detailpage/8590024833
000302,8590024834,http://acervos.ims.com.br/portals/#/detailpage/8590024834
000303,8590024835,http://acervos.ims.com.br/portals/#/detailpage/8590024835
000304,8590024836,http://acervos.ims.com.br/portals/#/detailpage/8590024836
000306,8590024837,http://acervos.ims.com.br/portals/#/detailpage/8590024837
000307,8590024838,http://acervos.ims.com.br/portals/#/detailpage/8590024838
000309,8590024840,http://acervos.ims.com.br/portals/#/detailpage/8590024840
000310,8590024841,http://acervos.ims.com.br/portals/#/detailpage/8590024841
000311,8590024842,http://acervos.ims.com.br/portals/#/detailpage/8590024842
000312,8590024843,http://acervos.ims.com.br/portals/#/detailpage/8590024843
000313,8590024844,http://acervos.ims.com.br/portals/#/detailpage/8590024844
000314,8590024845,http://acervos.ims.com.br/portals/#/detailpage/8590024845
000315,8590025110,http://acervos.ims.com.br/portals/#/detailpage/8590025110
000318,8590024846,http://acervos.ims.com.br/portals/#/detailpage/8590024846
000319,8590024847,http://acervos.ims.com.br/portals/#/detailpage/8590024847
000320,8590024848,http://acervos.ims.com.br/portals/#/detailpage/8590024848
000321,8590024849,http://acervos.ims.com.br/portals/#/detailpage/8590024849
000322,8590024850,http://acervos.ims.com.br/portals/#/detailpage/8590024850
000323,8590024851,http://acervos.ims.com.br/portals/#/detailpage/8590024851
000324,8590024852,http://acervos.ims.com.br/portals/#/detailpage/8590024852
000325,8590024853,http://acervos.ims.com.br/portals/#/detailpage/8590024853
000326,8590024854,http://acervos.ims.com.br/portals/#/detailpage/8590024854
000327,8590024855,http://acervos.ims.com.br/portals/#/detailpage/8590024855
000328,8590024856,http://acervos.ims.com.br/portals/#/detailpage/8590024856
000329,8590024857,http://acervos.ims.com.br/portals/#/detailpage/8590024857
000330,8590024858,http://acervos.ims.com.br/portals/#/detailpage/8590024858
000331,8590024859,http://acervos.ims.com.br/portals/#/detailpage/8590024859
000332,8590024860,http://acervos.ims.com.br/portals/#/detailpage/8590024860
000333,8590024861,http://acervos.ims.com.br/portals/#/detailpage/8590024861
000334,8590024862,http://acervos.ims.com.br/portals/#/detailpage/8590024862
000335,8590024863,http://acervos.ims.com.br/portals/#/detailpage/8590024863
000336,8590024864,http://acervos.ims.com.br/portals/#/detailpage/8590024864
000337,8590024865,http://acervos.ims.com.br/portals/#/detailpage/8590024865
000338,8590024866,http://acervos.ims.com.br/portals/#/detailpage/8590024866
