id,first_year,last_year,geometry
014AM012059,1905-01-01,1915-01-01,"POLYGON ((-43.17915401285876 -22.94139565831393, -43.18211746358823 -22.94373933676167, -43.1823526456709 -22.94346055722823, -43.1825570217658 -22.94316189159408, -43.18272862374592 -22.94284621629421, -43.18286579916601 -22.94251657156239, -43.18296722716979 -22.94217613214773, -43.18303193120217 -22.94182817673674, -43.18305928840431 -22.94147605637513, -43.18304903560143 -22.94112316219366, -43.18300842009873 -22.9408115766942, -43.17915401285876 -22.94139565831393))"
014AM012058,1905-01-01,1915-01-01,"POLYGON ((-43.17587499298768 -22.91197236323336, -43.16886507399464 -22.91426836440791, -43.16914314189687 -22.9148901924698, -43.16948604537787 -22.91548392099725, -43.16989048268324 -22.9160438316545, -43.17035255927108 -22.91656453174481, -43.17086782530269 -22.91704100616244, -43.17143131848889 -22.91746866570919, -43.17203761187933 -22.91784339130984, -43.17268086613482 -22.91816157369939, -43.17335488577881 -22.91842014819977, -43.17351004463847 -22.91846982272821, -43.17587499298768 -22.91197236323336))"
014AM012056,1929-01-01,1929-01-01,"POLYGON ((-43.181730703 -22.90686908300003, -43.18516433613556 -22.90858282866423, -43.1853301574153 -22.90826456284234, -43.18546131291455 -22.90793285803731, -43.18555653975817 -22.90759090883436, -43.18561492111594 -22.90724200845608, -43.18563589502239 -22.90688951704438, -43.18561925977807 -22.90653682929895, -43.18556517588079 -22.90618734178389, -43.18547416446886 -22.90584442021737, -43.18534710229138 -22.90551136705938, -43.18526456893404 -22.90533803371416, -43.181730703 -22.90686908300003))"
014AM012055,1925-01-01,1925-01-01,"POLYGON ((-43.18601016979689 -22.89366151985934, -43.18212130753152 -22.89398700338942, -43.18217465959339 -22.8943365857153, -43.18226495026472 -22.89467966719667, -43.18239131025675 -22.89501294370968, -43.18255252288246 -22.8953332055355, -43.18274703576495 -22.89563736827496, -43.18297297578052 -22.89592250255684, -43.1832281670924 -22.89618586225393, -43.18351015210185 -22.89642491093461, -43.18381621511484 -22.89663734629525, -43.1840037576241 -22.89674762779773, -43.18601016979689 -22.89366151985934))"
014AM012054,1905-01-01,1915-01-01,"POLYGON ((-43.18078356961006 -22.90505818757979, -43.18253106326235 -22.90827522708599, -43.18286497137444 -22.90810195711785, -43.18317883310414 -22.9078993734587, -43.18346962569158 -22.90766942722652, -43.18373454860092 -22.90741433306238, -43.18397105049272 -22.9071365477971, -43.18417685379418 -22.90683874678545, -43.18434997663084 -22.90652379813599, -43.18443431990036 -22.90633548734449, -43.18078356961006 -22.90505818757979))"
014AM012052,1910-01-01,1920-01-01,"POLYGON ((-43.18035356685923 -22.90672035185727, -43.18302591834143 -22.90409722456261, -43.18273393084627 -22.90386857558426, -43.18241902058629 -22.90366739036402, -43.18208422021699 -22.90349560629942, -43.18173275389497 -22.90335487765039, -43.18136800623356 -22.90324655961229, -43.18099348971479 -22.90317169526838, -43.18061281087134 -22.90313100554739, -43.18022963556395 -22.90312488228275, -43.17988992253532 -22.90314851329815, -43.18035356685923 -22.90672035185727))"
014AM012051,1905-01-01,1920-01-01,"POLYGON ((-43.17578493413211 -22.90263216403696, -43.17820005889762 -22.89980534832616, -43.1778876461774 -22.8996008978843, -43.17755498454405 -22.8994256396742, -43.17720527756273 -22.89928126141218, -43.17684189290826 -22.89916915343932, -43.17646832994014 -22.89909039533559, -43.17608818601069 -22.89904574552603, -43.17570512183081 -22.89903563397891, -43.17532282622606 -22.89906015806626, -43.17494498062261 -22.89911908162637, -43.17457522360409 -22.89921183723747, -43.1743470070402 -22.89928763114094, -43.17578493413211 -22.90263216403696))"
014AM012048,1906-01-01,1906-01-01,"POLYGON ((-43.25011587118152 -22.97329798236915, -43.14530052450898 -22.82536096986699, -43.13006758559497 -22.83553161952241, -43.11598726870549 -22.84702811669113, -43.10319508758277 -22.85974006542817, -43.09181428801517 -22.87354536614203, -43.08195465920474 -22.8883113791232, -43.0737114695519 -22.90389618995578, -43.06716453734898 -22.92014996508244, -43.06237744576256 -22.93691638489526, -43.05939691026881 -22.95403414093327, -43.05825230538976 -22.97133848308906, -43.05895535616949 -22.98866280217284, -43.05928578604826 -22.99183940814126, -43.25011587118152 -22.97329798236915))"
014AM012047,1903-01-01,1909-01-01,"POLYGON ((-43.18616041401611 -22.90574249208259, -43.18665741289754 -22.90217446188133, -43.18627536360005 -22.90214676936644, -43.18589220736299 -22.90215370471134, -43.18551163389823 -22.90219520113017, -43.18513730805195 -22.90227085902118, -43.18477283452116 -22.90237994981387, -43.18442172314862 -22.90252142298347, -43.18408735513032 -22.90269391616486, -43.18377295046026 -22.90289576826928, -43.18351269153246 -22.90309827397986, -43.18616041401611 -22.90574249208259))"
014AM012045,1915-01-01,1925-01-01,"POLYGON ((-43.18273040954049 -22.90564428011419, -43.17897245027243 -22.90662285877695, -43.17909467065948 -22.90695744620237, -43.17925190621336 -22.90727938739476, -43.17944264286377 -22.90758558178365, -43.17966504386011 -22.90787308043342, -43.17991696745471 -22.90813911444758, -43.1801959875254 -22.90838112163969, -43.18049941693879 -22.90859677121375, -43.18082433342962 -22.90878398621616, -43.1811676077465 -22.90894096354298, -43.1815259337933 -22.90906619130942, -43.18154475207163 -22.90907176313328, -43.18273040954049 -22.90564428011419))"
014AM012044,1929-01-01,1929-01-01,"POLYGON ((-43.19129469703508 -22.91142131624259, -43.18953608772558 -22.90820940142225, -43.18920277531914 -22.90838364227508, -43.18888960791257 -22.90858713706607, -43.18859960138106 -22.90881792615606, -43.18833554860353 -22.90907378705322, -43.18809999256735 -22.9093522558118, -43.18789520187742 -22.90965065075605, -43.18772314890546 -22.90996609830123, -43.18758549079024 -22.91029556062314, -43.18748355347167 -22.91063586490985, -43.18742834620623 -22.91091402573334, -43.19129469703508 -22.91142131624259))"
014AM012043,1900-01-01,1910-01-01,"POLYGON ((-43.17854388321648 -22.93093636331797, -43.18229286245425 -22.92992686252824, -43.18216736794884 -22.92959329828814, -43.18200697833953 -22.92927266876451, -43.18181323845623 -22.92896806169242, -43.18158801426308 -22.92868241048689, -43.18133347488281 -22.92841846599694, -43.1810520717033 -22.9281787700184, -43.18092988978022 -22.92808828790772, -43.17854388321648 -22.93093636331797))"
014AM012042,1910-01-01,1920-01-01,"POLYGON ((-43.17886596738069 -22.94142705275035, -43.18120874857139 -22.94430556444754, -43.18150384810847 -22.94408023379622, -43.18177354192304 -22.94382935127038, -43.18201523271919 -22.94355533314081, -43.18222659294256 -22.94326081848399, -43.18240558719356 -22.94294864376115, -43.182550491825 -22.94262181549697, -43.18265991153537 -22.94228348132074, -43.18273279279838 -22.94193689964932, -43.18275909843131 -22.94172168527707, -43.17886596738069 -22.94142705275035))"
014AM012041,1919-01-01,1923-01-01,"POLYGON ((-43.17431805305289 -22.90450704736418, -43.17418109969158 -22.90091197875594, -43.17379922942108 -22.90094165491436, -43.17342235531298 -22.90100566685865, -43.17305410659783 -22.90110339816682, -43.17269802946449 -22.90123390770458, -43.17235755291794 -22.90139593868626, -43.17203595576424 -22.90158793077475, -43.17173633504036 -22.9018080351042, -43.17146157619258 -22.90205413208089, -43.17124036275067 -22.90229279529684, -43.17431805305289 -22.90450704736418))"
014AM012040,1905-01-01,1915-01-01,"POLYGON ((-43.17745032089376 -22.91280042050953, -43.17376951185965 -22.91400283827916, -43.1739151863544 -22.91432936453295, -43.17409490727556 -22.9146411664292, -43.17430694397634 -22.91493524103358, -43.17454925454092 -22.91520875612269, -43.17481950544481 -22.91545907746471, -43.17511509402574 -22.91568379419352, -43.17543317354863 -22.91588074203187, -43.17577068062336 -22.91604802413963, -43.17585172744505 -22.9160825451543, -43.17745032089376 -22.91280042050953))"
